2025-02-20T20:00:10.653Z	INFO	Logger initialized
2025-02-20T20:00:10.653Z	INFO	Final configuration: 
2025-02-20T20:00:10.653Z	INFO	alerts_email	{"value": ""}
2025-02-20T20:00:10.653Z	INFO	allowed_user_flag	{"value": false}
2025-02-20T20:00:10.653Z	INFO	auto_ssl_cache_dir	{"value": ".certs"}
2025-02-20T20:00:10.653Z	INFO	auto_ssl_domain	{"value": ""}
2025-02-20T20:00:10.653Z	INFO	blockchain_enabled	{"value": true}
2025-02-20T20:00:10.653Z	INFO	blockchain_network_selected	{"value": "sepolia"}
2025-02-20T20:00:10.653Z	INFO	daemon_end_point	{"value": "0.0.0.0:7000"}
2025-02-20T20:00:10.653Z	INFO	daemon_group_name	{"value": "ZGVmYXVsdF9ncm91cA=="}
2025-02-20T20:00:10.653Z	INFO	daemon_type	{"value": "grpc"}
2025-02-20T20:00:10.653Z	INFO	ipfs_end_point	{"value": "https://gateway.pinata.cloud:443"}
2025-02-20T20:00:10.653Z	INFO	ipfs_timeout	{"value": 60}
2025-02-20T20:00:10.653Z	INFO	max_message_size_in_mb	{"value": 4}
2025-02-20T20:00:10.653Z	INFO	metering_enabled	{"value": false}
2025-02-20T20:00:10.654Z	INFO	metering_end_point	{"value": "https://marketplace-mt-v2.singularitynet.io"}
2025-02-20T20:00:10.654Z	INFO	organization_id	{"value": "my-ai-timeseries"}
2025-02-20T20:00:10.654Z	INFO	passthrough_enabled	{"value": true}
2025-02-20T20:00:10.654Z	INFO	passthrough_endpoint	{"value": "http://102.89.83.147:8000"}
2025-02-20T20:00:10.654Z	INFO	payment_channel_storage_type	{"value": "etcd"}
2025-02-20T20:00:10.654Z	INFO	service_heartbeat_type	{"value": "http"}
2025-02-20T20:00:10.654Z	INFO	service_id	{"value": "time-series-forecaster"}
2025-02-20T20:00:10.654Z	INFO	ssl_cert	{"value": ""}
2025-02-20T20:00:10.654Z	INFO	ssl_key	{"value": ""}
2025-02-20T20:00:10.654Z	INFO	Getting payment channel storage sever	{"conf": {"ID":"storage-1","Scheme":"http","Host":"0.0.0.0","client_port":2379,"peer_port":2380,"Token":"unique-token-123","Cluster":"storage-1=http://0.0.0.0:2380","startup_timeout":60000000000,"Enabled":true,"data_dir":"data.etcd","log_level":"info","log_outputs":["./etcd-server.log"]}}
